,,,,,,,Na,,Na%,,Na2O,,Na2O%,,Mg,,Mg%,,MgO,,MgO%,,Cl,,K,,K%,,K2O,,K2O%,,Sc,,Ti,,Ti%,,TiO2,,TiO2%,,Mn,,Mn%,,MnO,,MnO%,,Fe,,Fe%,,FeO%,,Fe2O3,,Fe2O3%,,Co,,Zn,,Ga,,Rb,,Sr,,Y,,Zr,,Nb,,Sb,,Cs,,Ba,,La,,Ce,,Nd,,Tb,,Dy,,Sm,,Eu,,Yb,,Lu,,Hf,,Ta,,Pb,,Th,,U,,,,,,
Literature,Serial,Source,Type,Sample,Method,n,MeanNa,SDNa,m,s,m,s,m,s,MeanMg,SDMg,m,s,m,s,m,s,MeanCl,SDCl,MeanK,SDK,m,s,m,s,m,s,MeanSc,SDSc,MeanTi,SDTi,m,s,m,s,m,s,MeanMn,SDMn,m,s,m,s,m,s,MeanFe,SDFe,m,s,,,m,s,m,s,MeanCo,SDCo,MeanZn,SDZn,MeanGa,SDGa,MeanRb,SDRb,MeanSr,SDSr,MeanY,SDY,MeanZr,SDZr,MeanNb,SDNb,MeanSb,SDSb,MeanCs,SDCs,MeanBa,SDBa,MeanLa,SDLa,MeanCe,SDCe,MeanNd,SDNd,MeanTb,SDTb,MeanDy,SDDy,MeanSm,SDSm,MeanEu,SDEu,MeanYb,SDYb,MeanLu,SDLu,MeanHf,SDHf,MeanTa,SDTa,MeanPb,SDPb,MeanTh,SDTh,MeanU,SDU,,,,,
Kar et al 1998,ACN001,Little White Hill Flow Dome,Source Samples,,EDXRF and INAA,1,39169.7967086157,,3.91697967086157,,,,5.28,,,,,,,,,,,,38601.5754384475,,3.86015754384475,,,,4.65,,,,839.158738107161,,0.0839158738107161,,,,0.14,,619.560743184189,,0.0619560743184189,,,,0.08,,20772.7033627654,,2.07727033627654,,,,,,2.97,,,,189,,35,,161,,1,,137,,968,,212,,,,,,24,,91.9,,189,,,,,,,,,,,,,,,,,,,,11,,19.4,,,,,,,,
Kar et al 1998,ACN002,Middleton Ridge Flow,Source Samples,,EDXRF and INAA,1,46959.2449177154,,4.69592449177154,,,,6.33,,,,,,,,,,,,34284.8401205996,,3.42848401205996,,,,4.13,,,,1738.25738607912,,0.173825738607912,,,,0.29,,1316.5665792664,,0.13165665792664,,,,0.17,,28256.471914334,,2.8256471914334,,,,,,4.04,,,,148,,30,,82,,15,,91,,1003,,117,,,,,,886,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Boulanger et al 2012,AFG001,Dasht-i-Nawur,Artifacts,,INAA,6,28430,530,2.843,0.053,,,,,,,,,,,,,360,41,36640,1560,3.664,0.156,,,,,,,,,,,,,,,566,5,,,438.339225802814,3.87225464490118,,,5710,,0.571,0.022,,,,,,,,,37,2,,,156,3,531,15.1,,,107,14,,,,,,,1026,30,18.1,0.3,35.2,0.5,,,,,,,,,0.69,0.02,,,,,,,,,,,10.4,0.1,4.7,0.3,,,,,
Le Roex and Erlank 1982,ANT001,Bouvet Island,Source Samples,,INAA,1,38798.8706034205,,3.87988706034205,,,,5.23,,422.118843815904,,0.0422118843815904,,,,0.07,,,,39514.7309864538,,3.95147309864538,,,,4.76,,,,1738.25738607912,,0.173825738607912,,,,0.29,,,,,,0.11,,,,12379.6919030622,,1.23796919030622,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Roex and Erlank 1982,ANT001,Bouvet Island,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,117,,11.7,,104,,1326,,180,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Roex and Erlank 1982,ANT001,Bouvet Island,Source Samples,,INAA,1,38798.8706034205,,3.87988706034205,,,,5.23,,422.118843815904,,0.0422118843815904,,,,0.07,,,,39514.7309864538,,3.95147309864538,,,,4.76,,,,1738.25738607912,,0.173825738607912,,,,0.29,,851.89602187826,,0.085189602187826,,,,0.11,,12379.6919030622,,1.23796919030622,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Roex and Erlank 1982,ANT001,Bouvet Island,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,117,,11.7,,104,,1326,,180,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearce et al 1995,ANT002,Candlemas Island,Source Samples,SSC.54.1,INAA,1,28932.2362052275,,2.89322362052275,,,,3.9,,12000.2357027664,,1.20002357027664,,,,1.99,,,,3569.60805129729,,0.356960805129729,,,,0.43,,,,9600,,0.96,,,,,,1394.01167216443,,0.139401167216443,,,,0.18,,67703.6257749389,,6.77036257749389,,,,,,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearce et al 1995,ANT002,Candlemas Island,Source Samples,SSC.54.1,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,11,,108,,35,,82,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palais 1985,ANT003,Mount Takahe,Source Samples,,EDXRF,5,57122.6202000645,,5.71226202000645,,,,7.7,,,,,,,,,,,,41091.9996602828,,4.10919996602828,,,,4.95,,,,5154.83224837256,,0.515483224837256,,,,0.86,,2478.24297273676,,0.247824297273676,,,,0.32,,61795.2188739648,,6.17952188739648,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
